epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,6019.07,1.27839,0.66952,0.00443,0.9043,0.80181,0.88018,0.58053,1.18682,0.63057,0.00615,0.0006536,0.0006536,0.0006536
104,6144.77,1.28423,0.68496,0.00437,0.89748,0.79187,0.86821,0.57768,1.18704,0.65263,0.00609,0.0006404,0.0006404,0.0006404
105,6269.33,1.24384,0.65979,0.00436,0.89954,0.8051,0.87709,0.58074,1.17375,0.65146,0.0061,0.0006272,0.0006272,0.0006272
106,6393.1,1.22738,0.65047,0.00427,0.8993,0.80417,0.87801,0.58163,1.18617,0.63743,0.00622,0.000614,0.000614,0.000614
107,6518.25,1.26364,0.65832,0.00438,0.89988,0.80962,0.87893,0.58252,1.17746,0.6255,0.00613,0.0006008,0.0006008,0.0006008
108,6641.66,1.25809,0.65672,0.0044,0.86748,0.82607,0.87381,0.58085,1.18941,0.62085,0.00617,0.0005876,0.0005876,0.0005876
109,6766.47,1.24325,0.66572,0.00443,0.87551,0.8199,0.87255,0.58104,1.18076,0.63605,0.0061,0.0005744,0.0005744,0.0005744
110,6890.38,1.24701,0.66521,0.00431,0.89251,0.81597,0.87816,0.58617,1.17639,0.61669,0.00611,0.0005612,0.0005612,0.0005612
111,7014.73,1.23516,0.6475,0.00437,0.90378,0.80674,0.87534,0.58006,1.17979,0.65246,0.00607,0.000548,0.000548,0.000548
112,7138.8,1.25598,0.65204,0.00422,0.89627,0.80652,0.87269,0.58065,1.18038,0.61981,0.0061,0.0005348,0.0005348,0.0005348
113,7263.55,1.24625,0.64843,0.00425,0.90011,0.80674,0.8746,0.58103,1.17657,0.63455,0.00603,0.0005216,0.0005216,0.0005216
114,7386.39,1.2286,0.63417,0.00436,0.89765,0.82319,0.88319,0.58583,1.17294,0.6168,0.00608,0.0005084,0.0005084,0.0005084
115,7511.37,1.23453,0.6373,0.00428,0.9025,0.80686,0.87623,0.58375,1.17406,0.60371,0.00612,0.0004952,0.0004952,0.0004952
116,7634.47,1.22528,0.62542,0.00426,0.89878,0.82511,0.88053,0.5865,1.16861,0.62106,0.00606,0.000482,0.000482,0.000482
117,7760.24,1.20884,0.62895,0.00429,0.88928,0.80913,0.8745,0.5842,1.17091,0.61541,0.00601,0.0004688,0.0004688,0.0004688
118,7882.61,1.22478,0.63653,0.00423,0.90876,0.80592,0.87907,0.58709,1.15836,0.63111,0.00596,0.0004556,0.0004556,0.0004556
119,8009.04,1.1916,0.60673,0.00421,0.90578,0.81867,0.88448,0.58812,1.17097,0.61447,0.00602,0.0004424,0.0004424,0.0004424
120,8133.68,1.21946,0.62732,0.00424,0.90332,0.81451,0.88016,0.58624,1.16773,0.61461,0.00599,0.0004292,0.0004292,0.0004292
121,8260.58,1.22232,0.63111,0.00405,0.91506,0.81373,0.88431,0.59102,1.153,0.60656,0.0059,0.000416,0.000416,0.000416
122,8529.04,1.19368,0.60787,0.00405,0.904,0.81538,0.88283,0.5916,1.14976,0.61366,0.0059,0.0004028,0.0004028,0.0004028
123,8556.77,1.19569,0.61263,0.00413,0.89844,0.82208,0.8804,0.58952,1.15573,0.62221,0.00599,0.0003896,0.0003896,0.0003896
124,8591.85,1.18371,0.59473,0.00409,0.9092,0.82607,0.8822,0.59089,1.15626,0.6171,0.00595,0.0003764,0.0003764,0.0003764
125,8741.22,1.21493,0.61224,0.0043,0.91142,0.82196,0.88436,0.59429,1.15707,0.59483,0.00598,0.0003632,0.0003632,0.0003632
126,8878.23,1.20418,0.60717,0.00407,0.90876,0.81085,0.88101,0.5905,1.16019,0.60367,0.00598,0.00035,0.00035,0.00035
127,9006.84,1.16886,0.5982,0.00401,0.91983,0.81141,0.88473,0.59543,1.15227,0.59194,0.00593,0.0003368,0.0003368,0.0003368
128,9126.37,1.18861,0.60889,0.00409,0.9115,0.81661,0.88062,0.59317,1.15143,0.60193,0.00591,0.0003236,0.0003236,0.0003236
